Mjesto,Ulica,Adresa ključ,Preostalo CIJEPANO m3,Isporučeno CIJEPANO m3,Preostalo U DUGOM m3,Isporučeno U DUGOM m3,Preostalo RVI m3,Isporučeno RVI m3,Preostalo PORODICE ŠEHIDA m3,Isporučeno PORODICE ŠEHIDA m3,Preostalo SINDIKAT m3,Isporučeno SINDIKAT m3,Preostalo ukupno m3,Adresa za kartu,Lat,Lng
Bosanska Krupa,Radnička,Bosanska Krupa|RADNICKA,14.0,21.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,24.0,"Radnička, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,Omladinska,Bosanska Krupa|OMLADINSKA,10.5,49.0,0.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,22.5,"Omladinska, Bosanska Krupa, Bosna i Hercegovina",,
Mahmić Selo,Mahmić Selo,Mahmić Selo|MAHMIC SELO,0.0,0.0,7.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,19.0,"Mahmić Selo, Mahmić Selo, Bosna i Hercegovina",,
Bosanska Krupa,Patriotske Lige,Bosanska Krupa|PATRIOTSKE LIGE,14.0,10.5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,19.0,"Patriotske Lige, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,Drenova Glavica,Bosanska Krupa|DRENOVA GLAVICA,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,"Drenova Glavica, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,Ul 10 Juli,Bosanska Krupa|10 JULA,3.5,0.0,0.0,0.0,10.0,0.0,3.5,0.0,0.0,0.0,17.0,"Ul 10 Juli, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,Pazadžik,Bosanska Krupa|PAZADZIK,10.5,21.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,15.5,"Pazadžik, Bosanska Krupa, Bosna i Hercegovina",,
Bastra Bb,Baštra,Bastra Bb|BASTRA,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,"Baštra, Bastra Bb, Bosna i Hercegovina",,
Bosanska Krupa,Kobiljnjak Hodžinac,Bosanska Krupa|KOBILJNJAK HODZINAC,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,14.0,"Kobiljnjak Hodžinac, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Otoka,Željeznička,Bosanska Otoka|ZELJEZNICKA,7.0,10.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,"Željeznička, Bosanska Otoka, Bosna i Hercegovina",,
Bosanska Krupa,Ćojluk,Bosanska Krupa|COJLUK,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,"Ćojluk, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Otoka,Manda,Bosanska Otoka|MANDA,3.5,0.0,7.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,14.0,"Manda, Bosanska Otoka, Bosna i Hercegovina",,
Bosanska Krupa,Lamela Ii,Bosanska Krupa|LAMELA,14.0,34.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,"Lamela Ii, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,511 Sbbr,Bosanska Krupa|511 SBBR,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,14.0,"511 Sbbr, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,Hasana Brkića,Bosanska Krupa|HASANA BRKICA,0.0,14.0,0.0,0.0,10.0,0.0,3.5,0.0,0.0,0.0,13.5,"Hasana Brkića, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,Gazijska,Bosanska Krupa|GAZIJSKA,0.0,7.0,7.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,12.0,"Gazijska, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Otoka,Bukovska,Bosanska Otoka|BUKOVSKA,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,12.0,"Bukovska, Bosanska Otoka, Bosna i Hercegovina",,
Bosanska Otoka,Prokop,Bosanska Otoka|PROKOP,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,"Prokop, Bosanska Otoka, Bosna i Hercegovina",,
Bosanska Otoka,Bužimski Put,Bosanska Otoka|BUZIMSKI PUT,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,"Bužimski Put, Bosanska Otoka, Bosna i Hercegovina",,
Polje Cazin,(bez ulice),Polje Cazin|(BEZ ULICE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0,10.5,"Polje Cazin, Bosna i Hercegovina",,
Bosanska Krupa,Aleja Zlatnih Ljiljana,Bosanska Krupa|ALEJA ZLATNIH LJILJANA,10.5,42.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,"Aleja Zlatnih Ljiljana, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,Krušnička,Bosanska Krupa|KRUSNICKA,10.5,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,"Krušnička, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,Međumostovi,Bosanska Krupa|MEDUMOSTOVI,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,"Međumostovi, Bosanska Krupa, Bosna i Hercegovina",,
